Medicine Name,Active Ingredient,Elderly (65+ yr),Warnings,Drug Interactions
Amoxicillin 267,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Metformin 267,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 267,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 268,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 268,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Amoxicillin 268,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Metformin 268,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 268,Atorvastatin,Start at lower dose,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Paracetamol 269,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 269,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Amoxicillin 269,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 269,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Atorvastatin 269,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Paracetamol 270,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 270,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 270,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 270,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 270,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Paracetamol 271,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 271,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Amoxicillin 271,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Metformin 271,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 271,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 272,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Ibuprofen 272,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 272,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 272,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 272,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Paracetamol 273,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Ibuprofen 273,Ibuprofen,Avoid in kidney disease,Avoid in severe liver impairment,Monitor blood sugar if taken with diabetes medications
Amoxicillin 273,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Metformin 273,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Atorvastatin 273,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 274,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 274,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Amoxicillin 274,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 274,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Atorvastatin 274,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Paracetamol 275,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Ibuprofen 275,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Amoxicillin 275,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Metformin 275,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 275,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 276,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 276,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 276,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 276,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 276,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Paracetamol 277,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 277,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 277,Amoxicillin,Adjust in renal impairment,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Metformin 277,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Atorvastatin 277,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Paracetamol 278,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Do not combine with NSAIDs due to kidney damage
Ibuprofen 278,Ibuprofen,Avoid in kidney disease,May require dose adjustment in renal failure,Monitor blood sugar if taken with diabetes medications
Amoxicillin 278,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Metformin 278,Metformin,Use with caution in renal impairment,Use with caution in kidney disease,Do not combine with NSAIDs due to kidney damage
Atorvastatin 278,Atorvastatin,Start at lower dose,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Paracetamol 279,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Ibuprofen 279,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 279,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Metformin 279,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Avoid with Warfarin due to bleeding risk
Atorvastatin 279,Atorvastatin,Start at lower dose,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 280,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Do not combine with NSAIDs due to kidney damage
Ibuprofen 280,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Amoxicillin 280,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Metformin 280,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Atorvastatin 280,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,Avoid with Warfarin due to bleeding risk
Paracetamol 281,Acetaminophen,Reduce dose in liver disease,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Ibuprofen 281,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,Do not combine with NSAIDs due to kidney damage
Amoxicillin 281,Amoxicillin,Adjust in renal impairment,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
Metformin 281,Metformin,Use with caution in renal impairment,Risk of falls due to sedation,Avoid with Warfarin due to bleeding risk
Atorvastatin 281,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 282,Acetaminophen,Reduce dose in liver disease,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Ibuprofen 282,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 282,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 282,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,Do not combine with NSAIDs due to kidney damage
Atorvastatin 282,Atorvastatin,Start at lower dose,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 283,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Ibuprofen 283,Ibuprofen,Avoid in kidney disease,Use with caution in kidney disease,Monitor blood sugar if taken with diabetes medications
Amoxicillin 283,Amoxicillin,Adjust in renal impairment,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Metformin 283,Metformin,Use with caution in renal impairment,May cause dizziness or drowsiness,Monitor blood sugar if taken with diabetes medications
Atorvastatin 283,Atorvastatin,Start at lower dose,May require dose adjustment in renal failure,"Caution with antihypertensives, may lower blood pressure"
Paracetamol 284,Acetaminophen,Reduce dose in liver disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Ibuprofen 284,Ibuprofen,Avoid in kidney disease,Risk of falls due to sedation,"Avoid with certain antibiotics (e.g., clarithromycin)"
Amoxicillin 284,Amoxicillin,Adjust in renal impairment,May cause dizziness or drowsiness,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 284,Metformin,Use with caution in renal impairment,May require dose adjustment in renal failure,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 284,Atorvastatin,Start at lower dose,Risk of falls due to sedation,Monitor blood sugar if taken with diabetes medications
Paracetamol 285,Acetaminophen,Reduce dose in liver disease,May require dose adjustment in renal failure,Avoid with Warfarin due to bleeding risk
Ibuprofen 285,Ibuprofen,Avoid in kidney disease,May cause dizziness or drowsiness,"Caution with antihypertensives, may lower blood pressure"
Amoxicillin 285,Amoxicillin,Adjust in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Metformin 285,Metformin,Use with caution in renal impairment,Avoid in severe liver impairment,"Avoid with certain antibiotics (e.g., clarithromycin)"
Atorvastatin 285,Atorvastatin,Start at lower dose,Use with caution in kidney disease,"Avoid with certain antibiotics (e.g., clarithromycin)"
Paracetamol 286,Acetaminophen,Reduce dose in liver disease,Use with caution in kidney disease,Avoid with Warfarin due to bleeding risk
